Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Field4,Field5,Field6,Field7,Field8
"C1;C2;C3;C6;C10;C9;C11","7","","","100nF","","","","","","","","","",""
"U1","1","","","ATMEGA328P-AU","","","","","","","","","",""
"R1","1","","","10k","","","","","","","","","",""
"J1","1","","","FTDI","","","","","","","","","",""
"Y1","1","","","CSTCE8M00G52-R0","","","","","","","","","",""
"R2;R3;R10","3","","","20k","","","","","","","","","",""
"J3;J8","2","","","I2C","","","","","","","","","",""
"J4","1","","","ICSP","","","","","","","","","",""
"U2","1","","","RFM95W-868S2","","","","","","","","","",""
"J2","1","","","Antenna","","","","","","","","","",""
"D1;D3","2","","","M1MA152WK","","","","","","","","","",""
"R4","1","","","160","","","","","","","","","",""
"J6","1","","","Relay","","","","","","","","","",""
"J7","1","","","SPI","","","","","","","","","",""
"U3","1","","","PMIC-TPS62132RGTR(QFN16)","","","","","","TPS62132RGTR","QFN-16 Texas Instruments","IC REG BUCK 3.3V 3A SYNC 16QFN","296-29936-1-ND","Texas Instruments"
"L1","1","","","L_Small","","","","","","","","","",""
"C5","1","","","10uF","","","","","","","","","",""
"C8","1","","","22uF","","","","","","","","","",""
"C7","1","","","3.3nF","","","","","","","","","",""
"R5","1","","","100k","","","","","","","","","",""
"J9","1","","","Vin","","","","","","","","","",""
"R8;R9","2","","","620k","","","","","","","","","",""
"R6;R7","2","","","2.4M","","","","","","","","","",""
"J5","1","","","V_MAIN","","","","","","","","","",""
"U4","1","","","HDC1080","","","","","","","","","",""
"Q1","1","","","NTD4909N","","","","","","","","","",""
"J10","1","","","EINK","","","","","","","","","",""
"SW1","1","","","FORCE","","","","","","","","","",""
"J11","1","","","ANALOG","","","","","","","","","",""
"D2","1","","","S1K-13-F","","","","","","","","","",""
